radio;mcc;net;area;cell;unit;lon;lat;range;samples;changeable;created;updated;averageSignal
GSM;218;90;14;22409;-1;17.8324;45.1569;22490;111;1;1570772846;1716157629;0
GSM;218;3;40;1412;-1;18.1708;42.6332;7019;50;1;1571361660;1729942983;0
GSM;218;3;40;1411;-1;18.2417;42.5973;8211;50;1;1571994613;1729933502;0
GSM;218;90;14;22410;-1;17.9594;44.9964;11051;94;1;1596301642;1695997515;0
GSM;218;90;14;22159;-1;17.9519;44.9431;6456;28;1;1596301841;1695997802;0
GSM;218;90;14;22533;-1;17.951;44.9898;5218;14;1;1596302106;1695997444;0
GSM;218;90;14;22534;-1;17.9325;44.9088;21157;11;1;1596302298;1695997982;0
GSM;218;90;14;22569;-1;18.0148;44.8902;5758;34;1;1596302682;1695998101;0
GSM;218;90;14;22568;-1;18.0297;44.8787;5976;10;1;1596302823;1695998163;0
GSM;218;90;14;22828;-1;18.1028;44.9084;3741;200;1;1596303256;1722204962;0
GSM;218;90;14;21986;-1;18.0791;44.8723;3277;200;1;1596303594;1722204789;0
GSM;218;90;14;21988;-1;18.0633;44.8505;10550;103;1;1596303941;1722261967;0
GSM;218;90;14;21987;-1;18.0519;44.8096;5545;102;1;1596304172;1722262508;0
GSM;218;90;6;21393;-1;18.0888;44.7411;3235;7;1;1596304252;1722203881;0
GSM;218;90;6;21334;-1;18.0761;44.7356;5467;33;1;1596304924;1722204063;0
GSM;218;90;6;21049;-1;18.0899;44.7304;6195;138;1;1596304993;1722203643;0
GSM;218;90;6;21336;-1;18.0951;44.742;2238;104;1;1596305117;1722257401;0
GSM;218;90;6;20286;-1;18.0404;44.6938;1958;13;1;1596305240;1735640887;0
GSM;218;90;6;20842;-1;17.9909;44.6684;5253;12;1;1596305641;1735775294;0
GSM;218;90;6;20844;-1;17.9056;44.6471;2332;16;1;1596305831;1739856304;0
GSM;218;90;6;21103;-1;17.9112;44.6463;7537;18;1;1596305957;1739856304;0
GSM;218;90;6;21292;-1;17.9803;44.6703;6732;9;1;1596416726;1739856303;0
GSM;218;90;6;20288;-1;17.9671;44.6635;7075;17;1;1596418676;1739856304;0
GSM;218;90;6;21335;-1;18.0775;44.705;8499;116;1;1596418676;1722203462;0
GSM;218;90;6;21713;-1;18.071;44.7208;11547;22;1;1596418676;1722203823;0
GSM;218;90;6;21047;-1;18.0832;44.7544;2150;200;1;1596420531;1722257315;0
GSM;218;5;6;4382;-1;18.0843;44.7036;13948;70;1;1596420531;1696000143;0
GSM;218;90;6;20938;-1;18.0893;44.7207;5876;104;1;1596420531;1722257042;0
GSM;218;90;6;21380;-1;17.9074;44.6459;1792;14;1;1596422398;1739856304;0
GSM;218;3;70;1337;-1;18.0922;44.6164;5508;118;1;1599020461;1696000621;0
GSM;218;3;70;1318;-1;18.0891;44.5224;4210;24;1;1599021266;1722255784;0
GSM;218;3;70;3539;-1;18.0754;44.49;3832;7;1;1599021604;1722255488;0
GSM;218;3;70;2825;-1;17.9987;44.4171;1386;31;1;1599022210;1722254584;0
GSM;218;3;70;1275;-1;18.0101;44.4103;4224;22;1;1599022325;1722201243;0
GSM;218;3;70;1809;-1;17.9881;44.3872;3576;40;1;1599022437;1735910768;0
GSM;218;3;70;1273;-1;18.0007;44.3658;1700;38;1;1599022609;1735910767;0
GSM;218;3;70;1798;-1;17.9623;44.3578;5139;50;1;1599022961;1735910767;0
GSM;218;90;7;20435;-1;18.3292;43.8401;1857;14;1;1599028042;1696006442;0
GSM;218;90;7;20308;-1;18.3197;43.8711;4454;5;1;1599028042;1722197701;0
